date,year,month,day,quarter,month_name,week_number,day_of_week,year_month
2020-10-31,2020,10,31,4,Oct,44,Sat,2020-Oct
2020-11-01,2020,11,1,4,Nov,44,Sun,2020-Nov
2020-11-03,2020,11,3,4,Nov,45,Tue,2020-Nov
2020-11-13,2020,11,13,4,Nov,46,Fri,2020-Nov
2020-11-27,2020,11,27,4,Nov,48,Fri,2020-Nov
2020-11-28,2020,11,28,4,Nov,48,Sat,2020-Nov
2020-12-09,2020,12,9,4,Dec,50,Wed,2020-Dec
2020-12-12,2020,12,12,4,Dec,50,Sat,2020-Dec
2020-12-13,2020,12,13,4,Dec,50,Sun,2020-Dec
2021-01-05,2021,1,5,1,Jan,1,Tue,2021-Jan
2021-01-08,2021,1,8,1,Jan,1,Fri,2021-Jan
2021-01-09,2021,1,9,1,Jan,1,Sat,2021-Jan
2021-01-10,2021,1,10,1,Jan,1,Sun,2021-Jan
2021-01-14,2021,1,14,1,Jan,2,Thu,2021-Jan
2021-01-15,2021,1,15,1,Jan,2,Fri,2021-Jan
2021-01-21,2021,1,21,1,Jan,3,Thu,2021-Jan
2021-01-22,2021,1,22,1,Jan,3,Fri,2021-Jan
2021-01-26,2021,1,26,1,Jan,4,Tue,2021-Jan
2021-01-28,2021,1,28,1,Jan,4,Thu,2021-Jan
2021-02-04,2021,2,4,1,Feb,5,Thu,2021-Feb
2021-02-06,2021,2,6,1,Feb,5,Sat,2021-Feb
2021-02-09,2021,2,9,1,Feb,6,Tue,2021-Feb
2021-02-11,2021,2,11,1,Feb,6,Thu,2021-Feb
2021-02-13,2021,2,13,1,Feb,6,Sat,2021-Feb
2021-02-14,2021,2,14,1,Feb,6,Sun,2021-Feb
2021-02-25,2021,2,25,1,Feb,8,Thu,2021-Feb
2021-03-08,2021,3,8,1,Mar,10,Mon,2021-Mar
2021-03-26,2021,3,26,1,Mar,12,Fri,2021-Mar
2021-03-30,2021,3,30,1,Mar,13,Tue,2021-Mar
2021-04-08,2021,4,8,2,Apr,14,Thu,2021-Apr
2021-04-17,2021,4,17,2,Apr,15,Sat,2021-Apr
2021-04-18,2021,4,18,2,Apr,15,Sun,2021-Apr
2021-04-19,2021,4,19,2,Apr,16,Mon,2021-Apr
